구분	코드	수가명	금액
외래	F6338	평형기능검사[전기안진검사]-급속안구운동검사	45000
외래	E7582	Stroboscopy-검사실로(후두진동미세검사법)	49000
입원	F6339	평형기능검사[전기안진검사]-시표추적검사	50000
외래	HA496	PNS CT	50000
외래	F6339	평형기능검사[전기안진검사]-시표추적검사	50000
외래	BEACH	(비급여)비치라이트주(글루타티온환원형)	50000
외래	EZ917B	(비급여)구취측정B	50000
외래	GCSEL	(비급여)지씨셀레늄주(아셀렌산나트륨오수화물)	50000
외래	GINKO	(비급여)진코발주(은행엽엑스) 5ml	50000
외래	GINKO	(비급여)진코발주(은행엽엑스) 5ml	50000
외래	KABIP	(비급여)카비파라세타몰주(아세트아미노펜) 100ml	50000
외래	KABIP	(비급여)카비파라세타몰주(아세트아미노펜) 100ml	50000
외래	MZ006H	(비급여)음성위생교육	50000
외래	OLFT0	(비급여)후각검사(외래) - 기본	50000
외래	TASTE0	(비급여)미각검사(외래)	50000
입원	MZ006H	(비급여)음성위생교육	50000
입원	OLFT0	(비급여)후각검사(외래) - 기본	50000
입원	E7582	Stroboscopy-검사실로(후두진동미세검사법)	51000
입원	F6332	평형기능검사[전기안진검사]-두위및두위변환안진검사	54000
외래	F6332	평형기능검사[전기안진검사]-두위및두위변환안진검사	55000
입원	F6335	평형기능검사[전기안진검사]-온도안진검사(냉온교대검사)	60000
외래	LIPOTH	(비급여)리포타손주	60000
외래	SPL0	(비급여)음성검사-외래	60000
외래	EX961	고실내시경검사	61000
외래	F6335	평형기능검사[전기안진검사]-온도안진검사(냉온교대검사)	61000
입원	F6330	평형기능검사-비디오 두부충동검사	63000
외래	F6330	평형기능검사-비디오 두부충동검사	63000
외래	VTREE	(비급여)브이트리주	64000
입원	FZ734	전정유발근전위검사	66000
외래	FZ734	전정유발근전위검사	66000
입원	DOCT2	(비급여)DOCTORRAMIN INJ 250 mL, 수액전용	67000
외래	FZ672	(비급여)호기 산화질소 측정	68000
외래	FZ672	(비급여)호기 산화질소 측정	68000
외래	MZ006M	(비급여)언어재활_인공와우	69000
외래	EB414X2	(비급여:재진)두경부-경부 초음파-갑상선·부갑상선	70000
입원	EZ917	(비급여)구취측정	70000
입원	SUGAD	(비급여)슈가덱스주(슈가마덱스나트륨)2ml	70000
외래	FZ738A	(비급여:외래)음향과 음압의 변화에 따른 이관기능검사	71000
외래	EZ917	(비급여)구취측정	71000
외래	F6390	전기와우도검사	71000
외래	HA451	CT of Brain	75000
입원	HA451	CT of Brain	75000
외래	EB562X	(비급여)유도초음파(Ⅱ)	80000
외래	FZ688E	(비급여) 조음평가	80000
외래	HUDAXI	(비급여)휴닥신주(싸이모신알파)	80000
외래	HUDAXI	(비급여)휴닥신주(싸이모신알파)	80000
외래	MZ006F	(비급여)음성치료	80000
외래	EB562	유도초음파(Ⅱ)	86000
외래	HA413	OMU CT(안면및 두개기저)	90000
외래	HA413	OMU CT(안면및 두개기저)	90000
입원	HA409	CT-안면 두개기저-측두골-조영제를사용하지않는경우	90000
입원	HA413	OMU CT(안면및 두개기저)	90000
입원	HA413	OMU CT(안면및 두개기저)	90000
입원	HA453	CT-경부-조영제를사용하지않는경우	90000
외래	HA409	CT-안면 두개기저-측두골-조영제를사용하지않는경우	91000
외래	HA453	CT-경부-조영제를사용하지않는경우	92000
외래	HA413	OMU CT(안면및 두개기저)	92000
외래	PERA30	(비급여)페라미플루주 30ml	92000
외래	PERA30	(비급여)페라미플루주 30ml	92000
외래	HA424	CT of Chest(H-R)	93000
외래	HA424	CT of Chest(H-R)	93000
입원	TNA	(비급여)유한쓰리챔버폼스페리주 362ml_외래	97000
외래	EB414X1	(비급여:초진)두경부-경부 초음파-갑상선·부갑상선	100000
외래	FZ688A	(비급여) 음역대검사 (VRP)	100000
입원	DEXME	(비급여)덱스메딘주(덱스메데토미딘염산염)2ml	100000
입원	FZ688A	(비급여) 음역대검사 (VRP)	100000
입원	FZ731A	(비급여)동적체형평형검사(Posturography)	100000
입원	PRE	(비급여)Precedex(Dexmedetomidine)	100000
입원	TNAO	(비급여)유한쓰리챔버폼스페리주 362ml_입원	100000
외래	FZ731A	(비급여)동적체형평형검사(Posturography)	101000
외래	F6400	청성뇌간유발검사(역치)	136000
입원	F6400	청성뇌간유발검사(역치)	136000
입원	FZ738B	(비급여:입원)음향과 음압의 변화에 따른 이관기능검사	140000
외래	FZ688H	(비급여)VDL acoustic	150000
외래	OLFT1	(비급여)후각검사(외래) - 복잡	150000
입원	FZ688H	(비급여)VDL acoustic	150000
입원	OLFT	(비급여) 후각검사(OP)	150000
입원	SPL	(비급여)음성검사(OP)	150000
입원	TASTE	(비급여)미각검사(OP)	150000
외래	FZ689	(비급여)언어평가_인공와우	167000
입원	FZ689	(비급여)언어평가_인공와우	167000
외래	CAPV	(비급여)캡박시브프리필드시린지 0.5ml	180000
외래	F6400-1	(비급여)장애진단서발급용 청성뇌간유발검사:역치	180000
외래	FZ688	(비)VDL(SIMPLE)	200000
입원	FZ688	(비)VDL(SIMPLE)	200000
외래	FY331	인공와우조절검사	226000
